CodMun,MHAB01,MHAB03,MHAB04,MHAB06,MHAB07,MHAB071,MHAB081,MHAB082,MHAB083,MHAB084,MHAB085,MHAB086,MHAB087,MHAB088,MHAB089,MHAB09,MHAB091,MHAB10,MHAB101,MHAB102,MHAB111,MHAB112,MHAB113,MHAB114,MHAB12,MHAB16,MHAB161,MHAB17,MHAB18,MHAB181,MHAB182,MHAB183,MHAB191,MHAB192,MHAB193,MHAB194,MHAB195,MHAB201,MHAB202,MHAB203,MHAB204,MHAB205,MHAB206,MHAB207,MHAB208,MHAB21
1100114,Setor subordinado a outra secretaria,Feminino,49,Ensino superior completo,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2017,Sim,Sim,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1100122,Secretaria em conjunto com outras políticas,Feminino,55,Especialização,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2009,Não,Sim,Não,Não,Sim,Não,-,Sim,Não,Não,Não,Não,Não,Não,-,Não
1100130,Setor subordinado a outra secretaria,Masculino,40,Ensino superior completo,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,-,Sim,2016,Tem maior representação governamental,Não,Sim,Não,Não,2,Não,-,-,Sim,2015,Sim,Sim,Sim,Não,Sim,Não,-,Sim,Não,Não,Não,Não,Não,Não,-,Não
1100148,Não possui estrutura,-,-,-,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,-,Sim,2008,Paritário,Sim,Sim,Sim,Sim,4,Não,-,-,Sim,2010,Não,Não,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Não
1100155,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2013,Sim,Sim,Não,Não,Sim,Não,-,Não,Não,Não,Não,Não,Sim,Não,-,Não
1100189,Secretaria em conjunto com outras políticas,Masculino,46,Ensino superior completo,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,2008,Paritário,Não,Sim,Não,Não,0,Sim,Sim,Não,Sim,2014,Não,Não,Não,Não,Sim,Não,-,Sim,Não,Não,Não,Não,Sim,Sim,-,Não
1100205,Secretaria em conjunto com outras políticas,Feminino,54,Especialização,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,2009,Tem maior representação da sociedade civil,Sim,Sim,Sim,Sim,5,Sim,O fundo possui um conselho gestor próprio,Sim,Sim,2016,Sim,Sim,Sim,Não,Sim,Sim,-,Sim,Não,Não,Não,Sim,Sim,Não,-,Sim
1100254,Setor subordinado a outra secretaria,Masculino,31,Especialização,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2013,Sim,Sim,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1100262,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2011,Não,Sim,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1100288,Secretaria em conjunto com outras políticas,Masculino,25,Ensino superior incompleto,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2008,Paritário,Sim,Sim,Sim,Sim,8,Não,-,-,Sim,2017,Sim,Sim,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Não
1100296,Não possui estrutura,-,-,-,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,-,Sim,2008,Paritário,Sim,Sim,Sim,Sim,6,Não,-,-,Sim,2010,Sim,Não,-,-,-,-,Sim,Não,Não,Não,Não,Não,Sim,Não,-,Não
1100304,Não possui estrutura,-,-,-,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2015,Sim,Sim,Não,Não,Sim,Não,-,Sim,Não,Não,Não,Não,Não,Não,-,Não
1100320,Não possui estrutura,-,-,-,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,-,Sim,2007,Paritário,Sim,Não,Sim,Sim,2,Não,-,-,Sim,2012,Sim,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1100338,Setor subordinado a outra secretaria,Masculino,43,Ensino superior completo,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2012,Não,Não,Não,Não,Sim,Não,-,Não,Não,Não,Não,Não,Sim,Não,-,Não
1100346,Setor subordinado a outra secretaria,Masculino,36,Ensino superior completo,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2008,Paritário,Sim,Não,Sim,Não,3,Não,-,-,Sim,2011,Não,Sim,-,-,-,-,Sim,Não,Não,Não,Não,Não,Sim,Não,-,Não
1100379,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2010,Paritário,Sim,Sim,Sim,Sim,6,Não,-,-,Sim,2016,Não,Sim,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1100403,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2014,Não,Sim,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1100452,Setor subordinado a outra secretaria,Feminino,44,Ensino superior completo,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2008,Paritário,Não,Sim,Não,Não,0,Não,-,-,Sim,2011,Não,Sim,Não,Não,Sim,Não,-,Não,Não,Não,Não,Não,Sim,Não,-,Não
1100502,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1100601,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2008,Tem maior representação governamental,Não,Sim,Não,Não,0,Sim,Sim,Sim,Não,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Não
1100700,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2009,Sim,Sim,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1100809,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2010,Paritário,Sim,Sim,Não,Sim,6,Sim,O fundo possui um conselho gestor próprio,Não,Não,-,-,-,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1100908,Secretaria em conjunto com outras políticas,Masculino,33,Ensino médio (2º Grau) completo ,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2010,Sim,Sim,Não,Não,Sim,Não,-,Não,Não,Não,Não,Não,Sim,Não,-,Não
1100924,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2008,Paritário,Sim,Sim,Não,Não,1,Não,-,-,Sim,2014,Não,Sim,-,-,-,-,Sim,Sim,Não,Não,Não,Sim,Sim,Não,-,Não
1100940,Setor subordinado a outra secretaria,Masculino,40,Ensino fundamental (1º Grau) completo ,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,Sim,Não,Sim,Sim,-,Não,Não,Não,Não,Sim,Sim,Não,-,Não
1101005,Não possui estrutura,-,-,-,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,2010,Paritário,Sim,Sim,Sim,Sim,2,Sim,Sim,Não,Sim,2009,Sim,Sim,-,-,-,-,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,-,Não
1101104,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2015,Sim,Não,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Não
1101203,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2009,Paritário,Sim,Sim,Sim,Sim,6,Não,-,-,Sim,2010,Não,Não,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Não
1101302,Setor subordinado a outra secretaria,Masculino,56,Ensino fundamental (1º Grau) incompleto ,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2001,Não,Sim,Não,Não,Sim,Não,-,Não,Não,Não,Não,Não,Sim,Não,-,Não
1101401,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2012,Não,Não,Não,Não,Sim,Não,-,Sim,Não,Não,Não,Não,Não,Não,-,Não
1101435,Secretaria em conjunto com outras políticas,Masculino,31,Ensino superior incompleto,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2011,Não,Sim,Não,Não,Sim,Não,-,Não,Não,Não,Não,Não,Sim,Não,-,Não
1101450,Secretaria exclusiva,Feminino,25,Ensino superior incompleto,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,Sim,2014,Paritário,Sim,Sim,Não,Sim,1,Não,-,-,Sim,2010,Não,Não,-,-,-,-,Sim,Sim,Não,Não,Não,Não,Sim,Não,-,Não
1101468,Setor subordinado a outra secretaria,Masculino,42,Ensino fundamental (1º Grau) completo ,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,-,-,-,-,Sim,Sim,Não,Sim,Não,Não,Sim,Não,-,Não
1101476,Secretaria exclusiva,Feminino,37,Ensino superior completo,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2016,Sim,Não,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Sim
1101484,Secretaria em conjunto com outras políticas,Feminino,36,Ensino superior completo,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,Sim,2007,Paritário,Sim,Sim,Sim,Sim,8,Não,-,-,Sim,2013,Não,Sim,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1101492,Setor subordinado a outra secretaria,Feminino,40,Ensino superior incompleto,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,-,Sim,2008,Paritário,Não,Sim,Não,Não,12,Não,-,-,Sim,2017,Sim,Sim,Não,Não,Sim,Não,-,Sim,Não,Não,Não,Não,Sim,Não,-,Sim
1101500,Setor subordinado a outra secretaria,Feminino,43,Ensino superior completo,Sim,O município não possui Plano Diretor,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,-,Sim,2011,Paritário,Não,Sim,Não,Não,2,Não,-,-,Sim,2011,Não,Sim,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Não
1101559,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2008,Paritário,Sim,Não,Sim,Sim,2,Não,-,-,Não,-,-,-,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1101609,Setor subordinado a outra secretaria,Feminino,38,Ensino superior completo,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,Não,Não,Sim,Não,-,Não,Não,Não,Não,Não,Sim,Não,-,Não
1101708,Não possui estrutura,-,-,-,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,-,Sim,2010,Paritário,Sim,Sim,Sim,Sim,2,Não,-,-,Não,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Não
1101757,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2012,Não,Sim,-,-,-,-,Sim,Não,Não,Não,Não,Não,Sim,Não,-,Não
1101807,Setor subordinado a outra secretaria,Feminino,44,Ensino médio (2º Grau) completo ,Sim,O município não possui Plano Diretor,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2011,Não,Não,-,-,-,-,Sim,Não,Não,Sim,Não,Não,Não,Não,-,Não
1200013,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2009,Paritário,Não,Sim,Não,Não,0,Não,-,-,Não,-,-,-,Não,Não,Sim,Não,-,Sim,Não,Não,Não,Não,Não,Não,-,Não
1200054,Não possui estrutura,-,-,-,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Não,-,Sim,2008,Tem maior representação governamental,Sim,Sim,Não,Não,0,Não,-,-,Não,-,-,-,Não,Não,Sim,Não,-,Não,Não,Não,Não,Sim,Não,Não,-,Sim
1200104,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2013,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1200138,Setor subordinado a outra secretaria,Masculino,56,Ensino fundamental (1º Grau) incompleto ,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,-,Sim,2010,Tem maior representação governamental,Não,Sim,Não,Não,0,Sim,Sim,Sim,Sim,2014,Não,Sim,Não,Não,Sim,Não,-,Não,Não,Não,Não,Não,Sim,Sim,-,Não
1200179,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2008,Paritário,Sim,Sim,Não,Não,0,Sim,Sim,Não,Não,-,-,-,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Sim
1200203,Setor subordinado diretamente à chefia do Executivo ,Feminino,28,Ensino médio (2º Grau) completo ,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2008,Paritário,Não,Sim,Não,Não,0,Não,-,-,Sim,2017,Não,Sim,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Sim
1200252,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2009,Paritário,Não,Sim,Não,Não,0,Não,-,-,Não,-,-,-,Não,Sim,Sim,Não,-,Não,Não,Não,Não,Não,Sim,Não,-,Sim
1200302,Setor subordinado a outra secretaria,Feminino,30,Ensino superior completo,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2008,Paritário,Sim,Sim,Não,Não,0,Não,-,-,Sim,2011,Sim,Sim,Não,Sim,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1200328,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2012,Paritário,Não,Não,Não,Sim,0,Não,-,-,Sim,2016,Não,Sim,Não,Sim,Sim,Não,-,Não,Não,Não,Não,Sim,Não,Não,-,Não
1200336,Setor subordinado a outra secretaria,Feminino,54,Ensino superior completo,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2016,Não,Sim,Não,Sim,Sim,Não,-,Sim,Não,Não,Não,Não,Não,Não,-,Sim
1200344,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2008,Tem maior representação governamental,Não,Sim,Não,Não,0,Não,-,-,Não,-,-,-,Não,Sim,Sim,Não,-,Não,Não,Não,Não,Não,Sim,Não,-,Não
1200351,Setor subordinado a outra secretaria,Feminino,41,Ensino superior completo,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,Sim,Não,Não,Não,-,-,-,-,-,-,-,-,Sim,Sim
1200385,Não possui estrutura,-,-,-,Sim,O município não possui Plano Diretor,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Sim,2008,Paritário,Não,Sim,Não,Não,4,Sim,Não,Sim,Sim,2014,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Sim
1200393,Setor subordinado a outra secretaria,Masculino,48,Ensino superior completo,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2013,Não,Sim,Não,Não,Sim,Não,-,Sim,Sim,Não,Não,Não,Não,Não,-,Sim
1200401,Não possui estrutura,-,-,-,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Sim,"Não, as conferências foram realizadas após a elaboração do plano",Sim,2011,Paritário,Não,Sim,Sim,Sim,2,Sim,Sim,Sim,Não,-,-,-,Sim,Não,Sim,Não,-,Não,Não,Não,Não,Não,Sim,Sim,-,Sim
1200427,Setor subordinado a outra secretaria,Masculino,30,Especialização,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2010,Paritário,Não,Não,Não,Sim,0,Não,-,-,Não,-,-,-,Não,Sim,Não,Não,-,Não,Não,Não,Não,Sim,Sim,Não,-,Sim
1200435,Secretaria em conjunto com outras políticas,Masculino,45,Ensino fundamental (1º Grau) incompleto ,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,Não soube informar*,Tem maior representação governamental,Não,Sim,Não,Não,3,Não,-,-,Não,-,-,-,-,-,-,-,Sim,Não,Não,Não,Não,Não,Não,Sim,-,Não
1200450,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2016,Sim,Não,Não,Não,Sim,Não,-,Sim,Não,Não,Não,Não,Não,Não,-,Não
1200500,Setor subordinado diretamente à chefia do Executivo ,Masculino,39,Ensino superior completo,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1200609,Setor subordinado a outra secretaria,Masculino,41,Ensino médio (2º Grau) completo ,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,-,Sim,2008,Tem maior representação governamental,Não,Sim,Não,Não,0,Não,-,-,Não,-,-,-,Não,Sim,Sim,Não,-,Não,Não,Não,Não,Sim,Não,Não,-,Sim
1200708,Setor subordinado a outra secretaria,Feminino,35,Ensino superior incompleto,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,Não soube informar*,Não,Não,Não,Não,Sim,Sim,-,Sim,Não,Não,Não,Não,Não,Não,-,Sim
1200807,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2010,Paritário,Não,Sim,Não,Não,0,Não,-,-,Não,-,-,-,Sim,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
1300029,Setor subordinado a outra secretaria,Masculino,42,Ensino médio (2º Grau) completo ,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2017,Sim,Sim,Não,Não,Sim,Não,-,Sim,Não,Não,Não,Sim,Não,Sim,-,Não
1300060,Setor subordinado a outra secretaria,Masculino,70,Especialização,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2017,Não,Sim,Sim,Sim,Sim,Não,-,Sim,Não,Não,Não,Não,Não,Sim,-,Sim
1300086,Não possui estrutura,-,-,-,Sim,O município não possui Plano Diretor,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,-,Sim,2010,Paritário,Sim,Sim,Não,Não,Não soube informar*,Não,-,-,Sim,Não soube informar*,Sim,Sim,-,-,-,-,Sim,Não,Não,Não,Não,Sim,Sim,Não,-,Sim
1300102,Não possui estrutura,-,-,-,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,-,-,-,-,Sim,Não,Não,Não,Sim,Não,Não,Não,-,Não
1300144,Secretaria em conjunto com outras políticas,Masculino,26,Ensino superior completo,Sim,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Sim,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2017,Sim,Sim,Não,Sim,Não,Não,-,Sim,Não,Sim,Não,Não,Sim,Não,-,Não
1300201,Secretaria em conjunto com outras políticas,Masculino,50,Ensino fundamental (1º Grau) incompleto ,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,-,-,-,-,Sim,Não,Não,Sim,Não,Não,Sim,Não,-,Sim
1300300,Setor subordinado diretamente à chefia do Executivo ,Feminino,51,Ensino médio (2º Grau) completo ,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,Sim,Sim,Sim,Não,-,Não,Não,Não,Não,Sim,Não,Não,-,Não
1300409,Setor subordinado a outra secretaria,Masculino,38,Ensino médio (2º Grau) completo ,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2017,Sim,Sim,Sim,Sim,Não,Não,-,Não,Não,Não,Não,Sim,Não,Não,-,Não
1300508,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,Não,Não,Sim,Não,-,Não,Sim,Não,Não,Não,Não,Não,-,Não
1300607,Secretaria em conjunto com outras políticas,Feminino,43,Ensino médio (2º Grau) completo ,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Sim
1300631,Setor subordinado a outra secretaria,Masculino,54,Ensino médio (2º Grau) completo ,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Sim,2015,Paritário,Não,Sim,Não,Não,0,Sim,Sim,Não,Não,-,-,-,Sim,Sim,Sim,Não,-,Sim,Não,Não,Não,Sim,Não,Não,-,Não
1300680,Setor subordinado a outra secretaria,Masculino,40,Ensino médio (2º Grau) completo ,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2010,Sim,Sim,Não,Não,Sim,Não,-,Sim,Não,Não,Não,Sim,Não,Não,-,Não
1300706,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,Sim,Não
1300805,Setor subordinado a outra secretaria,Feminino,47,Ensino superior completo,Não,-,-,-,-,-,-,-,-,-,-,Sim,O município não possui plano,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2017,Sim,Sim,Sim,Sim,Sim,Sim,-,Sim,Sim,Não,Sim,Sim,Sim,Não,-,Sim
1300839,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,Sim,Não,Sim,Não,-,Sim,Não,Não,Não,Sim,Não,Não,-,Não
1300904,Setor subordinado a outra secretaria,Masculino,50,Ensino médio (2º Grau) incompleto ,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,2016,Sim,Sim,-,-,-,-,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,-,Sim
1301001,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,-,-,-,Sim,Não,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não
