CodMun,MMAM01,MMAM03,MMAM04,MMAM06,MMAM071,MMAM072,MMAM073,MMAM074,MMAM075,MMAM076,MMAM08,MMAM091,MMAM092,MMAM093,MMAM094,MMAM095,MMAM096,MMAM097,MMAM098,MMAM099,MMAM0910,MMAM0911,MMAM10,MMAM101,MMAM102,MMAM111,MMAM112,MMAM113,MMAM114,MMAM12,MMAM16,MMAM17,MMAM171,MMAM18,MMAM191,MMAM192,MMAM193,MMAM194,MMAM195,MMAM196,MMAM197,MMAM198,MMAM199,MMAM201,MMAM20011,MMAM202,MMAM2021,MMAM203,MMAM2031,MMAM204,MMAM2041,MMAM205,MMAM2051,MMAM206,MMAM2061,MMAM207,MMAM2071,MMAM208,MMAM2081,MMAM209,MMAM2091,MMAM2010,MMAM20101,MMAM2011,MMAM20111,MMAM2012,MMAM21,MMAM211,MMAM221,MMAM222,MMAM223,MMAM224,MMAM225,MMAM226,MMAM227,MMAM228,MMAM229,MMAM23,MMAM2311,MMAM2312,MMAM2313,MMAM2314,MMAM2315,MMAM2316,MMAM2317,MMAM241,MMAM242,MMAM243,MMAM244,MMAM245,MMAM246,MMAM247,MMAM25,MMAM261,MMAM262,MMAM263,MMAM264,MMAM265,MMAM266,MMAM267,MMAM268,MMAM269,MMAM2610,MMAM2611,MMAM2612,MMAM2613,MMAM2614
1100296,Secretaria em conjunto com outras políticas setoriais,Masculino,42,Ensino médio (2º Grau) completo,2,1,0,0,1,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,Sim,Não,-,-,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100304,Secretaria exclusiva,Masculino,55,Especialização,12,6,0,6,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2011,Tem maior representação governamental,Não,Não,Não,Sim,12,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Sim,2011,Sim,2011,Sim,2011,Sim,2011,Sim,2011,Sim,2011,-,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não
1100320,Secretaria em conjunto com outras políticas setoriais,Masculino,49,Ensino fundamental (1º Grau) incompleto,12,11,0,1,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2002,Paritário,Sim,Sim,Não,Não,2,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Sim,Não,-,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100338,Secretaria exclusiva,Masculino,31,Ensino superior incompleto,4,4,0,0,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2011,Paritário,Sim,Sim,Sim,Não,4,Sim,Sim,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não,-,Sim,2012,Não,-,Não,-,Não,-,Não,-,Sim,2012,Não,-,Não,-,Não,-,Não,-,-,Sim,Sim,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1100346,Secretaria exclusiva,Masculino,47,Ensino médio (2º Grau) completo,4,0,0,3,0,1,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2012,Paritário,Sim,Sim,Não,Não,2,Sim,Não,-,-,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Sim,2016,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100379,Secretaria em conjunto com outras políticas setoriais,Masculino,55,Ensino médio (2º Grau) completo,2,0,0,2,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2009,Paritário,Não,Sim,Não,Não,0,Não,Sim,Não,Não,-,-,-,-,-,-,-,-,Sim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Sim,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não
1100403,Secretaria exclusiva,Feminino,26,Ensino superior completo,2,0,0,2,0,0,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,Sim,Não,-,-,Sim,Não,Não,Não,Não,Não,Não,Não,-,Sim,2015,Sim,1994,Não,-,Não,-,Não,-,Não,-,Sim,1994,Não,-,Sim,1994,Não,-,Não,-,-,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
1100452,Secretaria exclusiva,Masculino,29,Especialização,18,1,0,17,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2014,Paritário,Sim,Sim,Sim,Sim,3,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,-,Não,-,Sim,2017,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,-,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não
1100502,Setor subordinado a outra secretaria,Masculino,39,Ensino superior incompleto,1,0,0,1,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,Sim,2009,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,-,Não,-,Sim,Não,Não,Não,Sim,Sim,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não
1100601,Secretaria em conjunto com outras políticas setoriais,Masculino,35,Ensino médio (2º Grau) completo,5,5,0,0,0,0,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,Sim,Não,-,-,Sim,Não,Não,Não,Não,Não,Não,Não,-,Não,-,Sim,1993,Não,-,Sim,1993,Não,-,Sim,1993,Não,-,Sim,1993,Sim,1993,Sim,1993,Não,-,-,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
1100700,Setor subordinado a outra secretaria,Masculino,26,Ensino superior completo,1,0,0,1,0,0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,2017,Tem maior representação governamental,Não,Sim,Não,Sim,0,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,Sim,2016,Sim,2016,Sim,2016,Não,-,Sim,2016,Não,-,Não,-,Não,-,Sim,2016,Sim,2016,Não,-,-,Sim,Sim,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não
1100809,Secretaria exclusiva,Masculino,43,Ensino superior completo,5,2,0,3,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,1998,Paritário,Sim,Sim,Sim,Sim,12,Sim,Sim,O fundo possui um conselho gestor próprio,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,Sim,2012,Sim,1993,Não,-,Não,-,Não,-,Sim,2012,Não,-,Não,-,Não,-,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100908,Secretaria em conjunto com outras políticas setoriais,Feminino,25,Ensino superior incompleto,2,0,0,2,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,Sim,2017,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,-,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
1100924,Secretaria em conjunto com outras políticas setoriais,Masculino,43,Ensino superior incompleto,4,1,0,3,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2010,Paritário,Sim,Sim,Sim,Sim,0,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Sim,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100940,Secretaria exclusiva,Masculino,35,Ensino médio (2º Grau) completo,2,1,0,1,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2006,Paritário,Não,Sim,Não,Sim,1,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,Sim,2016,Sim,2016,Não,-,Sim,2015,Não,-,Não,-,Não,-,Sim,2015,Sim,2015,Sim,2015,Não,-,-,Sim,Não,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
1101005,Secretaria exclusiva,Masculino,41,Especialização,4,2,0,2,0,0,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,-,-,-,-,-,-,-,Não,Não,-,-,Sim,Não,Não,Não,Não,Não,Não,Não,-,Não,-,Não,-,Não,-,Sim,2012,Não,-,Sim,2012,Sim,2012,Sim,2012,Sim,2012,Sim,2012,Não,-,-,Sim,Sim,-,-,-,-,-,-,-,-,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não
1101104,Secretaria em conjunto com outras políticas setoriais,Masculino,51,Ensino superior completo,2,0,0,2,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,1992,Paritário,Sim,Sim,Não,Não,10,Não,Não,-,-,Não,Não,Não,Sim,Não,Não,Não,Não,-,Sim,2015,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,-,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não
1101203,Setor subordinado a outra secretaria,Masculino,48,Ensino médio (2º Grau) completo,1,0,0,1,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2008,Paritário,Não,Sim,Sim,Não,0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2016,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1101302,Secretaria em conjunto com outras políticas setoriais,Masculino,34,Ensino médio (2º Grau) completo,6,5,0,1,0,0,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,2004,Paritário,Sim,Sim,Sim,Sim,5,Sim,Não,-,-,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,-,Não,-,Não,-,Sim,2007,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,-,Não,Não,-,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-
