CodMun,CodMun,MTRA01,MTRA03,MTRA04,MTRA06,MTRA07,MTRA081,MTRA082,MTRA083,MTRA084,MTRA085,MTRA086,MTRA087,MTRA09,MTRA091,MTRA10,MTRA101,MTRA102,MTRA111,MTRA112,MTRA113,MTRA114,MTRA12,MTRA16,MTRA161,MTRA17,MTRA181,MTRA182,MTRA183,MTRA184,MTRA185,MTRA186,MTRA187,MTRA188,MTRA19,MTRA1911,MTRA192,MTRA1912,MTRA193,MTRA1913,MTRA1914,MTRA1915,MTRA201,MTRA202,MTRA203,MTRA204,MTRA205,MTRA206,MTRA207,MTRA208,MTRA209,MTRA2010,MTRA21,MTRA221,MTRA222,MTRA223,MTRA224,MTRA23,MTRA231,MTRA24,MTRA25
1100114,1100114,Setor subordinado a outra secretaria,Masculino,46,Ensino superior incompleto,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Sim,Não,,Não,-,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,-,Parcialmente adaptada,Não,Não,Sim,Não,Sim,Não,Não,Não
1100122,1100122,Órgão da administração indireta,Masculino,48,Ensino superior completo,Não,-,-,-,-,-,-,-,Sim,Não,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Sim,Sim,-,Sim,Sim,Sim,Não,-,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Não,-,Sem adaptação,-,-,-,-,Sim,Não,Não,Não
1100130,1100130,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Sim,Sim,Sim,Não,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,-,Sem adaptação,-,-,-,-,Sim,Sim,Não,Não
1100148,1100148,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1100155,1100155,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não
1100189,1100189,Setor subordinado a outra secretaria,Feminino,32,Especialização,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,2016,Paritário,Sim,Sim,Não,Sim,1,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,-,Sim,Sim,Sim,Não,-,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,-,Parcialmente adaptada,Não,Sim,Não,Não,Sim,Sim,Não,Não
1100205,1100205,Secretaria exclusiva,Masculino,47,Ensino superior completo,Não,-,-,-,-,-,-,-,Não,-,Sim,1985,Tem maior representação governamental,Não,Sim,Não,Não,1,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,-,Sim,Não,-,Não,-,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,-,Parcialmente adaptada,Não,Não,Sim,Não,Sim,Não,Sim,Não
1100254,1100254,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1100262,1100262,Setor subordinado a outra secretaria,Masculino,46,Ensino fundamental (1º Grau) incompleto,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Não,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1100288,1100288,Setor subordinado a outra secretaria,Masculino,25,Ensino superior completo,Não,-,-,-,-,-,-,-,Não,-,Sim,2011,Paritário,Sim,Sim,Sim,Sim,5,Não,-,-,Não,Não,Sim,Sim,Não,Sim,Não,-,Sim,Sim,Sim,Não,-,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,-,Parcialmente adaptada,Sim,Não,Não,Não,Sim,Sim,Não,Não
1100296,1100296,Setor subordinado a outra secretaria,Feminino,40,Ensino superior completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1100304,1100304,Secretaria exclusiva,Masculino,29,Mestrado,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,2005,Paritário,Sim,Sim,Sim,Sim,3,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Sim,Não,-,Sim,Sim,Sim,Não,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,-,Parcialmente adaptada,Não,Não,Sim,Não,Sim,Não,Sim,Não
1100320,1100320,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não
1100338,1100338,Secretaria exclusiva,Masculino,42,Ensino médio (2º Grau) completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Sim,Sim,Não,Não,-,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,-,Sem adaptação,-,-,-,-,Não,-,Não,Não
1100346,1100346,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1100379,1100379,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1100403,1100403,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Não,Sim,Sim,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não
1100452,1100452,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1100502,1100502,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1100601,1100601,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1100700,1100700,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não
1100809,1100809,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Sim,Não,-,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,-,Sem adaptação,-,-,-,-,Sim,Sim,Não,Não
1100908,1100908,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Não,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1100924,1100924,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Sim,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não
1100940,1100940,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Não,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1101005,1101005,Setor subordinado diretamente à chefia do Executivo,Masculino,37,Ensino médio (2º Grau) completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não
1101104,1101104,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1101203,1101203,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Não,Sim,Não,Não,Não,-,Sim,Não,-,Não,-,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,-,Parcialmente adaptada,-,-,-,Sim,Sim,Não,Não,Não
1101302,1101302,Setor subordinado a outra secretaria,Masculino,56,Ensino fundamental (1º Grau) incompleto,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1101401,1101401,Setor subordinado a outra secretaria,Feminino,25,Ensino médio (2º Grau) completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Não
1101435,1101435,Setor subordinado a outra secretaria,Masculino,31,Ensino superior incompleto,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1101450,1101450,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1101468,1101468,Setor subordinado a outra secretaria,Masculino,44,Ensino superior completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1101476,1101476,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1101484,1101484,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1101492,1101492,Setor subordinado a outra secretaria,Masculino,45,Ensino médio (2º Grau) incompleto,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1101500,1101500,Setor subordinado a outra secretaria,Masculino,52,Ensino médio (2º Grau) completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1101559,1101559,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1101609,1101609,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1101708,1101708,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1101757,1101757,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Não,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não
1101807,1101807,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1200013,1200013,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1200054,1200054,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1200104,1200104,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1200138,1200138,Secretaria em conjunto com outras políticas setoriais,Masculino,56,Ensino fundamental (1º Grau) incompleto,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Sim,Sim
1200179,1200179,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Não,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Não
1200203,1200203,Secretaria exclusiva,Masculino,60,Ensino médio (2º Grau) incompleto,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,-,Sim,2017,Paritário,Sim,Sim,Sim,Sim,0,Não,-,-,Sim,Não,Sim,Sim,Não,Não,Sim,-,Sim,Não,-,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,-,Sem adaptação,-,-,-,-,Sim,Não,Sim,Sim
1200252,1200252,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Não
1200302,1200302,Setor subordinado a outra secretaria,Masculino,40,Ensino médio (2º Grau) completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,Não,Sim,Sim,Não,Sim,Sim,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1200328,1200328,Setor subordinado a outra secretaria,Masculino,50,Ensino superior completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,Não,Não,Não,Não,Não,Sim,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1200336,1200336,Secretaria exclusiva,Masculino,40,Ensino médio (2º Grau) completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,Não,Sim,Sim,Não,Sim,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Não
1200344,1200344,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Sim,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1200351,1200351,Setor subordinado a outra secretaria,Feminino,48,Ensino superior completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,Não,Sim,Sim,Não,Não,Sim,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1200385,1200385,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Não
1200393,1200393,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,Não,Sim,Não,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1200401,1200401,Secretaria em conjunto com outras políticas setoriais,Masculino,33,Ensino superior completo,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,1986,Tem maior representação da sociedade civil,Não,Sim,Não,Não,4,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,-,Sim,Sim,Sim,Não,-,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,-,Totalmente adaptada,Não,Sim,Não,Não,Sim,Não,Sim,Sim
1200427,1200427,Secretaria em conjunto com outras políticas setoriais,Masculino,44,Ensino superior completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,Não,Sim,Não,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1200435,1200435,Secretaria em conjunto com outras políticas setoriais,Masculino,45,Ensino fundamental (1º Grau) incompleto,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,Não,Não,Não,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1200450,1200450,Setor subordinado a outra secretaria,Masculino,26,Ensino superior incompleto,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Sim,Não,-,Não,-,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,-,Parcialmente adaptada,Não,Sim,Sim,Não,Sim,Sim,Sim,Não
1200500,1200500,Secretaria em conjunto com outras políticas setoriais,Masculino,70,Ensino médio (2º Grau) completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Não,Sim,Não,Sim,Não,-,Sim,Não,-,Não,-,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,-,Parcialmente adaptada,Não,Sim,Não,Não,Não,-,Não,Não
1200609,1200609,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Sim,Sim,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Sim,Não
1200708,1200708,Setor subordinado diretamente à chefia do Executivo,Masculino,25,Ensino superior completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Não,Não,Não
1200807,1200807,Não possui estrutura,-,-,-,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Não,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sim,Sim,Não,Não
1300029,1300029,Secretaria em conjunto com outras políticas setoriais,Masculino,52,Ensino superior completo,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,Não,Sim,Sim,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
1300060,1300060,Setor subordinado a outra secretaria,Masculino,70,Especialização,Não,-,-,-,-,-,-,-,Não,-,Não,-,-,-,-,-,-,-,Não,-,-,Sim,Não,Sim,Não,Não,Não,Não,-,Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Não,-,Não,Não
