CodMun,AtingidoPorSeca_4a,AtingidoPorAlagam_4a,AtingidoPorErosao_4a,AtingidoPorEnchente_4a,AtingidoPorEnxurrada_4a,AtingidoPorDeslizam_4a
2512002,Sim,Não,Não,Não,Não,Não
2512036,Sim,Não,Não,Não,Não,Não
2512077,Sim,Não,Não,Não,Não,Não
2512101,Sim,Não,Não,Não,Não,Não
2512200,Sim,Não,Não,Não,Não,Não
2512309,Sim,Não,Não,Não,Não,Não
2512408,Sim,Não,Não,Não,Não,Não
2512507,Sim,Não,Não,Não,Não,Não
2512606,Sim,Não,Não,Não,Não,Não
2512705,Sim,Sim,Sim,Não,Não,Não
2512721,Sim,Não,Não,Não,Não,Não
2512747,Sim,Não,Não,Não,Não,Não
2512754,Sim,Não,Não,Não,Não,Não
2512762,Sim,Não,Não,Não,Não,Não
2512788,Sim,Não,Não,Não,Não,Não
2512804,Sim,Não,Não,Não,Não,Não
2512903,Não,Sim,Sim,Não,Não,Não
2513000,Sim,Não,Não,Não,Não,Não
2513109,Sim,Não,Não,Não,Não,Não
2513158,Sim,Não,Não,Não,Não,Não
2513208,Sim,Não,Não,Não,Não,Não
2513307,Sim,Não,Não,Não,Não,Não
2513356,Sim,Não,Não,Não,Não,Não
2513406,Sim,Não,Não,Não,Não,Não
2513505,Sim,Não,Não,Não,Não,Não
2513604,Sim,Não,Não,Não,Não,Não
2513653,Sim,Não,Não,Não,Não,Não
2513703,Não,Sim,Sim,Sim,Sim,Sim
2513802,Sim,Não,Não,Não,Não,Não
2513851,Sim,Não,Não,Não,Não,Não
2513901,Sim,Não,Não,Não,Não,Não
2513927,Sim,Não,Não,Não,Não,Não
2513943,Sim,Não,Não,Não,Não,Não
2513968,Sim,Não,Não,Não,Não,Não
2513984,Sim,Não,Não,Não,Não,Não
2514008,Sim,Não,Não,Não,Não,Não
2514107,Sim,Não,Não,Não,Não,Não
2514206,Sim,Não,Não,Não,Não,Não
2514305,Sim,Não,Não,Não,Não,Não
2514404,Sim,Não,Sim,Não,Não,Não
2514453,Sim,Não,Não,Não,Não,Não
2514503,Sim,Não,Não,Não,Não,Não
2514552,Sim,Não,Não,Não,Não,Não
2514602,Sim,Não,Sim,Não,Não,Não
2514651,Sim,Não,Não,Não,Não,Não
2514701,Sim,Não,Não,Não,Não,Não
2514800,Sim,Não,Não,Não,Não,Não
2514909,Sim,Não,Não,Não,Não,Não
2515005,Sim,Não,Não,Não,Não,Não
2515104,Sim,Não,Não,Não,Não,Não
2515203,Sim,Sim,Não,Não,Não,Não
2515302,Não,Não,Não,Não,Não,Não
2515401,Sim,Não,Não,Não,Não,Não
2515500,Sim,Não,Não sabe,Não,Não,Não
2515609,Sim,Não,Não,Não,Não,Não
2515708,Sim,Não,Não,Não,Não,Não
2515807,Sim,Não,Sim,Não,Não,Não
2515906,Sim,Não,Não,Não,Não,Não
2515930,Sim,Não,Não,Não,Não,Não
2515971,Sim,Não,Não,Não,Não,Não
2516003,Sim,Não,Não,Não,Não,Não
2516102,Sim,Não,Não,Não,Não,Não
2516151,Sim,Não,Não,Não,Não,Não
2516201,Sim,Não,Não,Não,Não,Não
2516300,Sim,Não,Sim,Não,Não,Não
2516409,Sim,Não,Não,Não,Não,Não
2516508,Sim,Não,Sim,Não,Não,Não
2516607,Sim,Não,Não,Não,Não,Não
2516706,Sim,Não,Não,Não,Não,Sim
2516755,Sim,Não,Não,Não,Não,Não
2516805,Sim,Não,Não,Não,Não,Não
2516904,Sim,Não,Não,Não,Não,Não
2517001,Sim,Não,Não,Não,Não,Não
2517100,Sim,Não,Não,Não,Não,Não
2517209,Sim,Não,Não,Não,Não,Não
2517407,Sim,Não,Não,Não,Não,Não
2600054,Não,Sim,Sim,Sim,Sim,Sim
2600104,Sim,Não,Não,Não,Não,Não
2600203,Sim,Não,Sim,Não,Não,Não
2600302,Sim,Sim,Não,Não,Não,Não
2600401,Sim,Não,Sim,Não,Não,Não
2600500,Sim,Não,Não,Não,Não,Não
2600609,Sim,Não,Não,Não,Não,Não
2600708,Sim,Não,Não,Não sabe,Não sabe,Não
2600807,Sim,Não,Não,Não,Não,Não
2600906,Sim,Não,Não,Não,Não,Não
2601003,Sim,Sim,Não,Sim,Não,Não
2601052,Não,Sim,Não,Sim,Sim,Não
2601102,Sim,Sim,Não,Sim,Sim,Sim
2601201,Sim,Não,Não,Não,Não,Não
2601300,Sim,Sim,Não,Não,Não,Sim
2601409,Não,Não,Sim,Não,Não,Sim
2601508,Sim,Não,Não,Não,Não,Não
2601607,Sim,Não,Não,Não,Não,Não
2601706,Sim,Não,Não,Não,Não,Não
2601805,Sim,Não,Não,Não,Não,Não
2601904,Sim,Não,Não sabe,Não,Não,Não
2602001,Sim,Não,Sim,Não,Não,Não
2602100,Sim,Não,Não,Não,Não,Não
2602209,Sim,Não,Não,Não,Não,Não
2602308,Sim,Não,Não,Não,Não,Não
2602407,Sim,Não,Não,Não,Não,Não
2602506,Sim,Não,Não,Não,Não,Não
2602605,Sim,Não,Não,Não,Não,Não
2602704,Sim,Não,Não,Não,Não,Não
2602803,Sim,Não,Não,Não,Não,Não
2602902,Não,Sim,Não,Não,Não,Sim
2603009,Sim,Não,Não,Não,Não,Não
2603108,Sim,Não,Não,Não,Não,Não
2603207,Sim,Não,Não sabe,Não,Não,Não
2603306,Sim,Não,Não,Não,Não,Não
2603405,Sim,Não,Não,Não,Não,Não
2603454,Não,Sim,Sim,Não,Não,Sim
2603504,Sim,Não,Não,Não,Não,Não
2603603,Não sabe,Não,Não,Não,Não,Não
2603702,Sim,Não,Não,Não,Não,Não
2603801,Sim,Não,Sim,Não,Não,Não
2603900,Sim,Não,Não,Não,Não,Não
2603926,Sim,Não,Não,Não,Não,Não
2604007,Não,Não,Não,Não,Não,Não
2604106,Sim,Sim,Sim,Não,Não,Não
2604155,Sim,Não,Sim,Não,Não,Não
2604205,Não,Sim,Sim,Não,Sim,Sim
2604304,Sim,Não,Não,Não,Não,Não
2604403,Sim,Não,Não,Não,Não,Não
2604502,Sim,Não,Não,Não,Não,Não sabe
2604601,Sim,Não,Não sabe,Não,Não,Não
2604700,Sim,Não,Não,Não,Não,Não
2604809,Não,Sim,Sim,Não,Não,Sim
2604908,Sim,Não,Não,Não,Não,Não
2605004,Sim,Sim,Não,Não,Não,Não
2605103,Sim,Não,Não,Não,Não,Não
2605152,Sim,Não,Não,Não,Não,Não
2605202,Não,Sim,Não,Sim,Sim,Sim
2605301,Sim,Não,Não,Não,Não,Não
2605400,Não,Não,Não,Não,Não,Não
2605459,Sim,Sim,Sim,Sim,Sim,Não
2605509,Sim,Não,Não,Não,Não,Não
2605608,Sim,Não,Não,Não,Não,Não
2605707,Sim,Não,Não,Não,Não,Não
2605806,Sim,Não,Não,Não,Não,Não
2605905,Não,Não,Sim,Não,Não,Sim
2606002,Sim,Não,Não,Não,Não,Não
2606101,Não,Não,Não,Não,Não,Não
2606200,Sim,Não,Não,Não,Não,Não
2606309,Sim,Não,Não sabe,Não,Não,Não
2606408,Sim,Não,Não,Não,Não,Não
2606507,Sim,Não,Não,Não,Não,Não
2606606,Sim,Não,Não,Não,Não,Não
2606705,Sim,Não,Não,Não,Não,Não
2606804,Não,Não,Não,Não,Não,Não
2606903,Sim,Não,Não,Não,Não,Não
2607000,Sim,Não,Não,Não,Não,Não
2607109,Sim,Não,Não,Não,Não,Não
2607208,Não,Sim,Sim,Sim,Sim,Sim
2607307,Sim,Não,Não,Não,Não,Não
2607406,Sim,Não,Não,Não,Não,Não
2607505,Sim,Não,Não,Não,Não,Não
2607604,Não,Não,Não,Não,Não,Não
2607653,Não,Não,Não,Não,Não,Não
2607703,Sim,Não,Não,Não,Não,Não
2607752,Não,Não,Não,Não,Não,Não
2607802,Não sabe,Não,Não,Não sabe,Não,Não
2607901,Não,Sim,Não,Não,Não,Sim
2607950,Sim,Sim,Não sabe,Sim,Sim,Não
2608008,Sim,Não,Não,Não,Não,Não
2608057,Sim,Não,Não,Não,Não,Não
2608107,Sim,Não,Não,Não,Não,Não
2608206,Não,Não sabe,Não,Não,Não,Sim
2608255,Sim,Não,Não,Não,Não,Não
2608305,Sim,Não,Não,Não,Não,Não
2608404,Sim,Não,Não,Não,Não,Não
2608453,Não,Não,Não,Não,Não,Não
2608503,Sim,Não,Não,Não,Não,Não
2608602,Sim,Não,Não,Não,Não,Não
2608701,Sim,Sim,Sim,Sim,Sim,Sim
2608750,Sim,Não,Não,Não,Não,Não
2608800,Sim,Não,Não,Não,Não,Não
2608909,Sim,Não,Não,Não,Não,Não
2609006,Sim,Não,Não,Não,Não,Não
2609105,Não,Não,Não,Não,Não,Não
2609154,Sim,Não,Não,Não,Não,Não
2609204,Não,Não,Sim,Não,Não,Não
2609303,Sim,Não,Não,Não,Não,Não
2609402,Não,Sim,Sim,Sim,Sim,Sim
2609501,Não,Não,Não,Não,Não,Não
2609600,Não sabe,Sim,Não sabe,Sim,Não sabe,Sim
2609709,Sim,Não,Não,Não,Não,Não
2609808,Sim,Não,Sim,Não,Não,Não
2609907,Sim,Não,Não,Não,Não,Não
2610004,Não,Sim,Sim,Não,Não,Sim
2610103,Sim,Não,Não,Não,Não,Não
2610202,Sim,Sim,Não sabe,Não,Não,Não
2610301,Sim,Não,Sim,Não,Não,Não
2610400,Sim,Não,Não,Não,Não,Não
2610509,Sim,Não,Não,Não,Não,Não
2610608,Não,Não,Não,Não,Não,Sim
2610707,Não,Sim,Sim,Não,Sim,Sim
2610806,Sim,Não,Não,Não,Não,Não
2610905,Sim,Não,Não,Não,Não,Não
2611002,Sim,Não,Não,Não,Não,Não
2611101,Sim,Sim,Não,Sim,Sim,Não
2611200,Sim,Não,Não,Não,Não,Não
2611309,Sim,Não,Não,Não,Não,Não
2611408,Não sabe,Não,Sim,Não,Não,Sim
2611507,Sim,Sim,Sim,Não sabe,Não,Sim
2611533,Sim,Não,Não,Não sabe,Não,Não
2611606,Não,Sim,Sim,Sim,Sim,Sim
2611705,Sim,Não,Não,Não,Sim,Não
2611804,Não,Não,Sim,Não,Não,Sim
2611903,Não,Sim,Sim,Não,Não,Sim
2612000,Sim,Não,Não,Sim,Não,Não
2612109,Sim,Não,Não,Não,Não,Não
2612208,Sim,Não,Não,Não,Não,Não
2612307,Sim,Não,Não,Não,Não,Não
2612406,Sim,Não,Não,Não,Não,Não
2612455,Sim,Não,Não,Não,Não,Não
2612471,Sim,Não,Não,Não,Não,Não
2612505,Sim,Sim,Sim,Não,Sim,Não
2612554,Sim,Não,Não sabe,Não,Não,Não
2612604,Sim,Não,Sim,Não,Não,Não
2612703,Sim,Não,Não,Não,Não,Não
2612802,Sim,Não,Não,Não,Não,Não
2612901,Sim,Não,Sim,Não,Não,Sim
2613008,Sim,Não,Não,Não,Não,Não
2613107,Sim,Não,Não,Não,Não,Não
2613206,Sim,Não,Não,Não,Não,Não
2613305,Sim,Não,Não,Não,Não,Não
2613404,Não,Sim,Não,Não,Não,Não
2613503,Sim,Não,Não,Não,Não,Não
2613602,Sim,Sim,Sim,Não,Não,Não
2613701,Não,Sim,Sim,Sim,Sim,Sim
2613800,Sim,Não,Não,Não,Não,Sim
2613909,Sim,Sim,Não,Não,Não,Não
2614006,Sim,Não,Não,Sim,Não,Não
2614105,Sim,Não,Não,Não,Não,Não
2614204,Não,Sim,Sim,Não,Não,Não sabe
2614303,Sim,Não,Não,Não,Não,Não
2614402,Sim,Não,Não,Não,Não,Não
2614501,Sim,Não,Não,Não,Não,Não
2614600,Sim,Não,Não,Não,Não,Não
2614709,Sim,Não,Não,Não,Não,Não
2614808,Sim,Não,Não,Não,Não,Não
2614857,Não,Sim,Sim,Não,Sim,Sim
2615003,Sim,Não,Não,Não,Não,Não
2615102,Sim,Não,Não,Não,Não,Não
2615201,Sim,Não,Não,Não,Não,Não
2615300,Não,Sim,Não,Não,Não,Não
2615409,Sim,Não,Sim,Não,Não,Não
2615508,Não sabe,Sim,Não sabe,Não sabe,Sim,Não
2615607,Sim,Não,Não,Não,Não,Não
2615706,Sim,Não,Não,Não,Não,Não
2615805,Sim,Não,Não,Não,Não,Não
2615904,Sim,Não,Não,Não,Não,Não
2616001,Sim,Não,Sim,Não,Não,Não
2616100,Sim,Não,Sim,Não,Não,Não
2616183,Sim,Não,Não,Não,Não,Não
2616209,Sim,Não,Não,Não,Não,Não
2616308,Não sabe,Sim,Não sabe,Sim,Não sabe,Não sabe
2616407,Sim,Sim,Não,Não sabe,Não sabe,Não
2616506,Não,Não sabe,Sim,Não sabe,Não sabe,Não sabe
2700102,Sim,Não,Não,Não,Não,Não
2700201,Sim,Não,Não,Não,Não,Não
2700300,Sim,Não,Não,Não,Não,Não
2700409,Sim,Não,Não,Não,Não,Não sabe
2700508,Não,Não sabe,Não sabe,Não sabe,Não,Não sabe
2700607,Não,Não sabe,Não,Não,Não,Não
2700706,Sim,Não,Não,Não,Não,Não
2700805,Sim,Não,Não,Não,Não,Não
2700904,Sim,Não,Não,Não,Não,Não
2701001,Sim,Não,Não,Sim,Não,Não
2701100,Sim,Não,Não,Não,Não,Não
2701209,Sim,Não,Não,Não,Não,Não
2701308,Sim,Sim,Não,Não,Não,Sim
2701357,Não,Não,Não,Não sabe,Não sabe,Não sabe
2701407,Sim,Não,Não,Não,Não,Não
2701506,Sim,Não,Não,Não,Não,Não
2701605,Sim,Não,Não,Não,Não,Não
2701704,Sim,Sim,Não,Não,Não,Não
2701803,Sim,Não,Não,Não,Não,Não
2701902,Sim,Não,Não,Não,Não,Não
2702009,Sim,Não,Não,Não,Não,Não
2702108,Sim,Sim,Sim,Não,Não,Sim
2702207,Não,Não,Não,Não,Não,Não
2702306,Sim,Sim,Não,Não,Não,Sim
2702355,Sim,Não,Sim,Não,Não,Não
2702405,Sim,Não,Não,Não,Não,Não
2702504,Sim,Não,Não,Não,Não,Não
2702553,Sim,Não,Não,Não,Não,Não
2702603,Sim,Sim,Não,Não,Não,Não
2702702,Não sabe,Não,Não,Não,Não,Não
2702801,Não,Não,Sim,Não,Não,Sim
2702900,Sim,Não,Não,Não,Não,Não
2703007,Sim,Não,Não,Não,Não,Não
2703106,Sim,Não,Não,Não,Não,Não
2703205,Sim,Não,Não,Não,Não,Não
2703304,Sim,Não,Não,Não,Não,Não
2703403,Sim,Não,Não,Não,Não,Não
2703502,Não,Não,Não sabe,Não,Não,Não
2703601,Não,Não,Não,Não,Não,Não
2703700,Sim,Não,Não,Não,Não,Não
2703759,Sim,Não,Sim,Não,Não,Sim
2703809,Sim,Sim,Não,Sim,Não,Sim
2703908,Não,Não,Não,Não,Não,Não
2704005,Sim,Não,Não,Não,Não,Sim
2704104,Sim,Não,Não,Não,Não,Não
2704203,Sim,Não,Não,Não,Não,Não
2704302,Não,Sim,Sim,Não,Não,Sim
2704401,Sim,Não,Não,Não,Não,Não
2704500,Não,Não,Não,Não,Não,Não
2704609,Sim,Não,Não,Não,Não,Não
2704708,Não,Não,Sim,Não,Não,Sim
2704807,Sim,Não,Não,Não,Não,Não
2704906,Sim,Não,Não,Não,Não,Não
2705002,Sim,Não,Não,Não,Não,Não
2705101,Não,Sim,Não,Sim,Não,Não
2705200,Sim,Não,Não,Não,Não,Não
2705309,Sim,Não,Não,Não,Não,Não
2705408,Sim,Não,Não,Não,Não,Não
2705507,Sim,Não,Não,Não,Não,Não
2705606,Sim,Sim,Não,Não,Não,Não
2705705,Sim,Não,Não,Não,Não,Não
2705804,Sim,Não,Não,Não,Não,Não
2705903,Sim,Não,Não,Não,Não,Não
2706000,Sim,Não,Não,Não,Não,Não
2706109,Sim,Não,Não,Não,Não,Não
2706208,Sim,Não,Não,Não,Não,Não
2706307,Sim,Não,Não,Não,Não,Não
2706406,Sim,Não,Não,Não,Não,Não
2706422,Sim,Não,Sim,Não,Não,Não
2706448,Não,Não,Não,Não,Não,Sim
2706505,Não sabe,Não,Não,Não,Não,Não
2706604,Sim,Não,Não,Não,Não,Não
2706703,Sim,Não,Não,Não,Não,Não
2706802,Sim,Não,Não,Não,Não,Não
2706901,Não,Não,Não,Não,Não,Não
2707008,Sim,Não,Não,Não,Não,Não
2707107,Sim,Não,Não,Não,Não,Não
2707206,Sim,Não,Não,Não,Não,Não
2707305,Não,Não,Não sabe,Não,Não,Não sabe
2707404,Não,Não,Não,Não,Sim,Não sabe
2707503,Sim,Sim,Não,Não,Não sabe,Não
2707602,Sim,Não,Não,Não,Não,Não
2707701,Sim,Sim,Sim,Não,Não,Não
2707800,Não,Não,Não,Não,Não,Não
2707909,Não,Sim,Não,Não,Não,Não
2708006,Sim,Não,Não,Não,Não,Não
2708105,Sim,Não,Não,Não,Não,Não
2708204,Sim,Sim,Sim,Sim,Sim,Não
2708303,Sim,Sim,Não,Não,Não,Sim
2708402,Sim,Não,Não,Não,Não,Não
2708501,Não,Não,Não,Não,Não,Sim
2708600,Não,Sim,Não,Não,Não,Não
2708709,Sim,Sim,Sim,Não,Sim,Sim
2708808,Sim,Não,Não,Não,Não,Não
2708907,Não,Não,Não,Não,Não,Não
2708956,Sim,Não,Não,Não,Não,Não
2709004,Sim,Não,Não,Não,Não,Não
2709103,Sim,Não,Não,Não,Não,Não
2709152,Sim,Não,Não,Não,Não,Não
2709202,Sim,Não,Não,Não,Não,Não
2709301,Sim,Não,Não,Não,Não,Não
2709400,Sim,Não,Sim,Não,Não,Não
2800100,Sim,Não sabe,Não,Não,Não,Não
2800209,Sim,Não,Não,Não,Não,Não
2800308,Não,Sim,Sim,Sim,Sim,Não
2800407,Sim,Sim,Sim,Não,Não,Não
2800506,Sim,Não,Não,Não,Não,Não
2800605,Sim,Não,Não,Não,Não,Não
2800670,Não,Não,Não,Não,Não,Não
2800704,Sim,Não,Não,Sim,Não,Não
2801009,Sim,Não,Não,Não,Não,Não
2801108,Sim,Não sabe,Não sabe,Não,Não,Não
2801207,Sim,Sim,Não,Não,Não,Não
2801306,Sim,Não,Não,Não,Não,Não
2801405,Sim,Sim,Não,Não,Não,Não sabe
2801504,Não,Sim,Não,Sim,Não,Não
2801603,Sim,Não sabe,Não sabe,Não sabe,Não,Não
2801702,Sim,Não,Não,Não,Não,Não
2801900,Sim,Não,Não,Não,Não,Não
2802007,Sim,Não,Não,Não,Não,Não
2802106,Sim,Não,Sim,Não,Não,Não
2802205,Sim,Não,Não,Não,Não,Não
2802304,Sim,Não,Não sabe,Não,Não,Não
2802403,Sim,Não,Não,Não,Não,Não
2802502,Não,Não,Não,Não,Não,Não
2802601,Sim,Não,Não sabe,Não,Não,Não
2802700,Não,Não,Não,Não,Não,Não
2802809,Não,Sim,Não,Não,Não,Não
2802908,Sim,Sim,Não,Sim,Sim,Não
2803005,Sim,Não,Não,Não,Não,Não
2803104,Sim,Não,Não,Não,Não,Não
2803203,Não,Não,Não,Não,Não,Não
2803302,Não,Não sabe,Não sabe,Não,Não,Não
2803401,Sim,Não,Não sabe,Não sabe,Não,Não
2803500,Sim,Sim,Não,Não,Sim,Não
2803609,Não,Não,Não,Não,Não,Não
2803708,Sim,Não,Não,Não,Não,Não
2803807,Sim,Não,Sim,Não,Não,Não
2803906,Sim,Não,Não,Não,Não,Não
2804003,Não,Sim,Não,Não,Não,Não
2804102,Sim,Não,Não,Não,Não,Não
2804201,Sim,Sim,Sim,Não,Sim,Não
2804300,Sim,Não,Não,Não,Não,Não
2804409,Sim,Não,Não,Não,Não,Não
2804458,Sim,Não,Não,Não,Não,Não
2804508,Sim,Não sabe,Não,Não,Não,Não
2804607,Sim,Não,Não,Não,Não,Não
2804706,Sim,Não,Não,Não,Não,Não
2804805,Não,Sim,Não,Sim,Não,Não
2804904,Não,Não,Não,Não,Não,Não
2805000,Sim,Não,Não,Não,Não,Não
2805109,Não,Não,Não,Não,Não,Não
2805208,Sim,Não,Não,Não,Não,Não
2805307,Não,Não,Não,Não,Não,Não
2805406,Sim,Não,Não,Não,Não,Não
2805505,Sim,Não,Sim,Não,Não,Não
2805604,Sim,Não,Não,Não,Sim,Não
2805703,Sim,Não,Não,Não,Não,Não
2805802,Sim,Não,Não,Não,Não,Não
2805901,Não,Sim,Não,Sim,Não,Não
2806008,Sim,Não,Não,Não,Não,Não
2806107,Sim,Sim,Não,Sim,Sim,Não
2806206,Sim,Sim,Não,Sim,Não,Não
2806305,Sim,Não,Não,Não,Não,Não
2806404,Sim,Não,Não,Não,Não,Não
2806503,Sim,Não,Não,Não,Não,Não
2806602,Sim,Não,Não,Não,Não,Não
2806701,Não,Sim,Sim,Sim,Sim,Sim
2806800,Sim,Não,Não,Não,Não,Não
2806909,Sim,Não,Não,Não,Não,Não
2807006,Sim,Não,Não,Não,Não,Não
2807105,Sim,Não,Não,Não,Não,Não
2807204,Sim,Não,Não,Não,Não,Não
2807303,Sim,Não,Não sabe,Não,Não,Não
2807402,Sim,Não,Não,Não,Não,Não
2807501,Sim,Não,Não,Não,Não,Não
2807600,Não sabe,Não,Não,Não,Não,Não
2900108,Sim,Sim,Sim,Sim,Sim,Não
2900207,Sim,Não,Não,Não,Não,Não
2900306,Sim,Não,Não,Não,Não,Não
2900355,Sim,Não,Sim,Não,Não,Não
2900405,Sim,Não,Não,Não,Não,Não
2900504,Sim,Não,Não,Não,Sim,Não
2900603,Sim,Não sabe,Não,Sim,Sim,Não
2900702,Sim,Sim,Sim,Não,Sim,Não
2900801,Sim,Sim,Não,Não,Não,Não
2900900,Sim,Não,Não,Não,Não,Não
2901007,Sim,Não,Não,Não,Não,Não
2901106,Sim,Sim,Sim,Não,Não,Não
2901155,Sim,Sim,Não,Não,Sim,Não
2901205,Sim,Não,Não,Não,Não,Não
2901304,Sim,Não,Não,Não,Não,Sim
2901353,Sim,Sim,Não,Sim,Sim,Não
2901403,Sim,Sim,Não,Sim,Não,Não
2901502,Sim,Não,Não,Não,Não,Não
2901601,Sim,Não,Não,Não,Não,Não
2901700,Sim,Não,Não,Não,Não,Não
2901809,Sim,Sim,Não,Não,Não,Não
2901908,Sim,Não,Não sabe,Não,Não,Não
2901957,Sim,Não,Não,Não,Não,Não
2902005,Sim,Não,Não,Não,Não,Não
2902054,Não,Não,Não,Não,Não,Não
2902104,Sim,Sim,Sim,Sim,Não sabe,Não
2902203,Sim,Não,Não,Não,Não,Não
2902252,Sim,Não sabe,Não sabe,Não sabe,Não sabe,Não sabe
2902302,Não,Não,Não,Não,Não,Não
2902401,Sim,Sim,Não,Sim,Não,Não
2902500,Sim,Não,Não,Não,Não,Não
2902609,Sim,Não,Não,Não,Não,Não
2902658,Sim,Não,Não,Não,Não,Não
2902708,Sim,Não,Sim,Não,Não,Não
2902807,Sim,Não,Não,Não,Não,Não
2902906,Sim,Não,Sim,Não,Não,Não
2903003,Sim,Não,Não,Não,Não,Não
2903102,Sim,Sim,Não,Não,Não,Não
2903201,Sim,Não,Não sabe,Sim,Sim,Não
2903235,Sim,Não,Não,Não,Não,Não
2903276,Sim,Não,Não,Não,Não,Não
2903300,Sim,Não,Não,Não,Não,Não
2903409,Sim,Não,Não,Não,Não,Não
2903508,Sim,Não,Não,Não,Não,Não
2903607,Sim,Não,Sim,Não,Não,Não
2903706,Sim,Não,Não,Não,Não,Não
2903805,Sim,Não,Sim,Não,Não,Não
2903904,Sim,Sim,Sim,Não,Sim,Não
2903953,Sim,Não,Não,Não,Não,Não
2904001,Sim,Não,Não,Não,Não,Não
2904050,Sim,Não,Não,Não,Não,Não
2904100,Sim,Não,Não sabe,Não,Não,Não
2904209,Sim,Não sabe,Não sabe,Não sabe,Não sabe,Não
2904308,Sim,Não,Não,Não,Não,Não
2904407,Sim,Não,Não,Não,Não,Não
2904506,Sim,Não,Não,Não,Não,Não
2904605,Sim,Sim,Sim,Não,Sim,Não
2904704,Sim,Não,Sim,Sim,Sim,Não
2904753,Sim,Não,Não,Não,Não,Não
2904803,Sim,Não,Sim,Não,Não,Não
2904852,Sim,Não,Não,Não,Não,Não
2904902,Sim,Não,Não,Não,Não,Não
2905008,Sim,Não,Não,Não,Não,Não
2905107,Sim,Não,Não,Não,Não,Não
2905156,Sim,Não,Não,Não,Não,Não
2905206,Sim,Não,Não,Não,Não,Não
2905305,Sim,Não,Não,Não,Não,Não
2905404,Não,Sim,Sim,Não,Sim,Não
2905503,Sim,Não,Não,Não,Não,Não
2905602,Sim,Sim,Não,Não,Sim,Sim
2905701,Não,Não,Não,Não,Não,Não sabe
2905800,Não,Sim,Sim,Sim,Sim,Sim
2905909,Sim,Não,Não,Não,Não,Não
2906006,Sim,Não,Sim,Não,Não,Sim
2906105,Sim,Não,Não,Não,Não,Não
2906204,Sim,Não,Não,Não,Não,Não sabe
2906303,Não,Não,Não,Não,Não,Não
2906402,Sim,Não,Não,Não,Não,Não
2906501,Não,Sim,Sim,Sim,Sim,Sim
2906600,Sim,Não,Não,Não,Não,Não
2906709,Sim,Não,Sim,Não,Não,Não
2906808,Sim,Não,Sim,Não,Não,Não
2906824,Sim,Não,Não,Não,Não,Não
2906857,Sim,Não,Não,Não,Não,Não
2906873,Sim,Não,Não,Não,Não,Não
2906899,Sim,Não,Não,Não,Não,Não
2906907,Não,Sim,Não,Não,Não,Não
2907004,Sim,Não,Não,Não,Não,Não
2907103,Sim,Sim,Não,Não,Não,Não
2907202,Sim,Não,Sim,Não,Sim,Sim
2907301,Sim,Não,Não,Não,Não,Não
2907400,Sim,Não,Não,Não,Não,Não
2907509,Não,Não,Não,Não,Não,Não
2907558,Sim,Não,Não,Não,Não,Não
2907608,Sim,Não,Não,Não,Não,Não
2907707,Sim,Não,Não,Não,Não,Não
2907806,Sim,Não,Sim,Não,Não,Não
2907905,Sim,Não,Não,Não,Não,Não
2908002,Sim,Não,Não,Não,Não,Não
2908101,Sim,Sim,Não,Sim,Sim,Não
2908200,Sim,Não,Não,Não,Não,Não
2908309,Sim,Não,Não,Não,Não,Não
2908408,Sim,Não,Não,Não,Sim,Não
2908507,Sim,Não,Não,Não,Não,Não
2908606,Sim,Sim,Sim,Sim,Não,Sim
2908705,Sim,Não,Não,Não,Não,Não
2908804,Sim,Não,Não,Não,Não,Não
2908903,Sim,Não,Não,Não,Não,Não
2909000,Sim,Não,Não,Não,Sim,Não
2909109,Sim,Não,Não,Não,Não,Não
2909208,Sim,Não,Não,Não,Não,Não
2909307,Sim,Não,Sim,Não,Não,Não
2909406,Sim,Sim,Sim,Sim,Sim,Não
2909505,Sim,Não,Sim,Não,Não,Não
2909604,Sim,Sim,Não,Não,Não,Não
2909703,Sim,Não,Não,Não,Não,Não
2909802,Sim,Não,Não,Não,Não,Não
2909901,Sim,Não,Não,Não,Não,Não
2910008,Sim,Não,Não,Não,Não,Não
2910057,Não,Não,Não,Não,Não,Não
2910107,Sim,Não,Não,Não,Não,Não
2910206,Não,Não,Não,Não,Não,Não
2910305,Sim,Não,Não,Não,Não,Não
2910404,Sim,Não,Não,Não,Não,Não
2910503,Sim,Não,Não,Não,Não,Não
2910602,Sim,Não,Não,Não,Não,Não
2910701,Sim,Não,Sim,Não,Sim,Não
2910727,Sim,Não,Não,Não,Não,Não
2910750,Sim,Não,Não,Não,Não,Não
2910776,Sim,Não,Não,Não,Não,Não
2910800,Sim,Sim,Não,Sim,Não,Não
2910859,Sim,Não,Não,Não,Não,Não
2910909,Sim,Não,Não sabe,Não,Não,Sim
2911006,Sim,Não,Não,Não,Não,Não
2911105,Sim,Sim,Sim,Sim,Sim,Não
2911204,Sim,Não,Não,Não,Não,Não
2911253,Sim,Não,Não,Não sabe,Não,Não
2911303,Sim,Sim,Sim,Não,Sim,Sim
2911402,Sim,Não,Não,Não,Não,Não
2911501,Sim,Não,Não,Não,Não,Não
2911600,Sim,Não,Não,Não,Não,Não
2911659,Sim,Não,Não,Não,Não,Não
2911709,Sim,Não,Não,Não,Não,Não
2911808,Sim,Não,Não,Não,Não,Não sabe
